case_id,dimension,priority,classification,trigger_event,trigger_as,trigger_supported,fixture,fault_injection,assertions_total,assertions_mappable,assertions_unmappable,assertions_llm,blocker_count,blockers
COMP-ACTION-02-001,completeness,P1,full_scriptable,push,maintainer,True,basic-ci,null,2,2,0,0,0,""
COMP-ACTOR-02-001,completeness,P1,partial_scriptable,push,maintainer,True,basic-ci,null,3,2,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
COMP-ARTIFACT-02-001,completeness,P1,full_scriptable,push,maintainer,True,basic-ci,null,2,2,0,0,0,""
COMP-CACHE-02-001,completeness,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
COMP-CONCUR-02-001,completeness,P1,not_scriptable,manual,maintainer,False,basic-ci,null,2,2,0,0,1,"manual 触发：需 workflow_dispatch API（待确认端点）"
COMP-CONTAINER-02-001,completeness,P1,partial_scriptable,push,maintainer,True,container-ci,null,4,4,0,0,1,"未知 repo_fixture 'container-ci'，需确认测试仓前置资源"
COMP-CONTERR-02-001,completeness,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
COMP-CONTEXT-02-001,completeness,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
COMP-DAG-02-001,completeness,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
COMP-ENV-02-001,completeness,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
COMP-EXPR-02-001,completeness,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
COMP-EXPRFN-02-001,completeness,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
COMP-FILTER-02-001,completeness,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
COMP-MATIF-02-001,completeness,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
COMP-MATRIX-02-001,completeness,P1,full_scriptable,push,maintainer,True,basic-ci,null,4,4,0,0,0,""
COMP-MATRIX-02-005,completeness,P1,partial_scriptable,push,maintainer,True,matrix-ci,null,4,4,0,0,1,"未知 repo_fixture 'matrix-ci'，需确认测试仓前置资源"
COMP-MATRIX-02-006,completeness,P1,partial_scriptable,push,maintainer,True,matrix-ci,null,3,3,0,0,1,"未知 repo_fixture 'matrix-ci'，需确认测试仓前置资源"
COMP-MATRIX-02-007,completeness,P1,partial_scriptable,push,maintainer,True,matrix-ci,null,4,4,0,0,1,"未知 repo_fixture 'matrix-ci'，需确认测试仓前置资源"
COMP-OUTPUT-02-001,completeness,P1,full_scriptable,push,maintainer,True,basic-ci,null,2,2,0,0,0,""
COMP-PARSE-02-001,completeness,P1,partial_scriptable,push,maintainer,True,basic-ci,null,2,1,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
COMP-PERM-02-001,completeness,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
COMP-POST-02-001,completeness,P1,full_scriptable,push,maintainer,True,basic-ci,null,2,2,0,0,0,""
COMP-RERUN-02-001,completeness,P1,full_scriptable,push,maintainer,True,basic-ci,null,4,4,0,0,0,""
COMP-RUNNER-02-001,completeness,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
COMP-SCHEDULE-02-001,completeness,P1,not_scriptable,schedule,maintainer,False,basic-ci,null,3,3,0,0,1,"schedule：cron 无法按需触发（基础设施限制）"
COMP-STAGES-02-001,completeness,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
COMP-TIMEOUT-02-001,completeness,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
COMP-TRIGGER-02-001,completeness,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
COMP-WF-CALL-02-001,completeness,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
COMPAT-ACTION-02-001,compatibility,P1,full_scriptable,push,maintainer,True,basic-ci,null,2,2,0,0,0,""
COMPAT-ACTION-INPUTS-02-001,compatibility,P2,partial_scriptable,push,maintainer,True,basic-ci,null,2,1,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
COMPAT-ART-CACHE-02-001,compatibility,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
COMPAT-ARTIFACT-EQUIV-02-001,compatibility,P2,full_scriptable,push,maintainer,True,basic-ci,null,2,2,0,0,0,""
COMPAT-CACHE-EQUIV-02-001,compatibility,P2,full_scriptable,push,maintainer,True,basic-ci,null,2,2,0,0,0,""
COMPAT-CHECKOUT-EQUIV-02-001,compatibility,P1,full_scriptable,push,maintainer,True,basic-ci,null,2,2,0,0,0,""
COMPAT-CONCUR-02-001,compatibility,P1,not_scriptable,manual,maintainer,False,basic-ci,null,3,3,0,0,1,"manual 触发：需 workflow_dispatch API（待确认端点）"
COMPAT-CONCUR-MODEL-02-001,compatibility,P1,partial_scriptable,push,maintainer,True,basic-ci,null,2,1,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
COMPAT-CONTEXT-02-001,compatibility,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
COMPAT-CTX-AVAIL-02-001,compatibility,P1,full_scriptable,push,maintainer,True,basic-ci,null,4,4,0,0,0,""
COMPAT-DEF-SHELL-02-001,compatibility,P1,full_scriptable,push,maintainer,True,basic-ci,null,4,4,0,0,0,""
COMPAT-DEPRECATED-CMD-02-001,compatibility,P2,partial_scriptable,push,maintainer,True,basic-ci,null,2,1,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
COMPAT-EXPRCO-02-001,compatibility,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
COMPAT-EXPRCS-02-001,compatibility,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
COMPAT-EXPRFN-02-001,compatibility,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
COMPAT-EXPRFN-02-002,compatibility,P1,full_scriptable,push,maintainer,True,basic-ci,null,5,5,0,0,0,""
COMPAT-EXPRFN-02-003,compatibility,P1,full_scriptable,push,maintainer,True,basic-ci,null,5,5,0,0,0,""
COMPAT-EXPRSYN-02-001,compatibility,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
COMPAT-FLAVOR-LABEL-02-001,compatibility,P2,partial_scriptable,push,maintainer,True,basic-ci,null,2,1,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
COMPAT-IN-TYPE-02-001,compatibility,P1,full_scriptable,push,maintainer,True,basic-ci,null,2,2,0,0,0,""
COMPAT-INJECT-02-001,compatibility,P1,not_scriptable,pull_request,untrusted_contributor,False,basic-ci,null,4,4,0,0,2,"pull_request：需建分支+开 PR（待确认 PR API） | trigger.as=untrusted_contributor：需第二 GitCode 账号/token 模拟外部贡献者"
COMPAT-MATFF-02-001,compatibility,P1,full_scriptable,push,maintainer,True,basic-ci,null,2,2,0,0,0,""
COMPAT-MATRIX-02-001,compatibility,P1,partial_scriptable,push,maintainer,True,matrix-compat,null,6,6,0,0,1,"未知 repo_fixture 'matrix-compat'，需确认测试仓前置资源"
COMPAT-MIGR-02-001,compatibility,P1,full_scriptable,push,maintainer,True,basic-ci,null,2,2,0,0,0,""
COMPAT-MULTILINE-DELIM-02-001,compatibility,P2,full_scriptable,push,maintainer,True,basic-ci,null,2,2,0,0,0,""
COMPAT-NO-WIN-MAC-02-001,compatibility,P1,partial_scriptable,push,maintainer,True,basic-ci,null,2,1,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
COMPAT-OUTPUT-02-001,compatibility,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
COMPAT-OUTPUT-LIMIT-02-001,compatibility,P2,partial_scriptable,push,maintainer,True,basic-ci,null,2,1,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
COMPAT-PATHS-02-001,compatibility,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
COMPAT-PERMS-02-001,compatibility,P1,full_scriptable,push,maintainer,True,basic-ci,null,2,2,0,0,0,""
COMPAT-POST-02-001,compatibility,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
COMPAT-PR-COMM-02-001,compatibility,P1,not_scriptable,pull_request_comment,untrusted_contributor,False,basic-ci,null,3,3,0,0,2,"pull_request_comment：需 PR comment API（未实现） | trigger.as=untrusted_contributor：需第二 GitCode 账号/token 模拟外部贡献者"
COMPAT-PR-TARGET-02-001,compatibility,P0,not_scriptable,pull_request_target,untrusted_contributor,False,with-secrets,null,4,4,0,0,2,"pull_request_target：同 PR + base 上下文语义 | trigger.as=untrusted_contributor：需第二 GitCode 账号/token 模拟外部贡献者"
COMPAT-PR-TYPES-02-001,compatibility,P1,not_scriptable,pr,maintainer,False,basic-ci,null,2,2,0,0,1,"pr 触发：需建分支+开 PR（待确认 PR API）"
COMPAT-RECURSIVE-02-001,compatibility,P1,full_scriptable,push,maintainer,True,basic-ci,null,2,2,0,0,0,""
COMPAT-RUN-CTX-02-001,compatibility,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
COMPAT-RUN-LBL-02-001,compatibility,P1,full_scriptable,push,maintainer,True,basic-ci,null,2,2,0,0,0,""
COMPAT-RUNNER-NAME-02-001,compatibility,P2,full_scriptable,push,maintainer,True,basic-ci,null,2,2,0,0,0,""
COMPAT-RUNSON-EQUIV-02-001,compatibility,P2,full_scriptable,push,maintainer,True,basic-ci,null,2,2,0,0,0,""
COMPAT-RUNSON-MIGR-02-001,compatibility,P0,partial_scriptable,push,maintainer,True,basic-ci,null,2,1,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
COMPAT-SCHEDULE-02-001,compatibility,P1,not_scriptable,schedule,maintainer,False,basic-ci,null,3,3,0,0,1,"schedule：cron 无法按需触发（基础设施限制）"
COMPAT-SECRET-M-02-001,compatibility,P1,full_scriptable,push,maintainer,True,with-secrets,null,4,4,0,0,0,""
COMPAT-SETUP-STAR-02-001,compatibility,P2,full_scriptable,push,maintainer,True,basic-ci,null,2,2,0,0,0,""
COMPAT-STAGE-FIELDS-02-001,compatibility,P1,full_scriptable,push,maintainer,True,basic-ci,null,2,2,0,0,0,""
COMPAT-STAGES-02-001,compatibility,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
COMPAT-STAGES-ORCH-02-001,compatibility,P1,full_scriptable,push,maintainer,True,basic-ci,null,2,2,0,0,0,""
COMPAT-STAGES-SYNTAX-02-001,compatibility,P2,partial_scriptable,push,maintainer,True,basic-ci,null,2,1,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
COMPAT-SYSENV-02-001,compatibility,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
COMPAT-SYSENV-MAP-02-001,compatibility,P1,partial_scriptable,push,maintainer,True,basic-ci,null,2,1,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
COMPAT-TOOLCHAIN-02-001,compatibility,P2,partial_scriptable,push,maintainer,True,basic-ci,null,2,1,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
COMPAT-UNKNOWN-TOP-02-001,compatibility,P1,partial_scriptable,push,maintainer,True,basic-ci,null,2,1,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
COMPAT-UNSUPP-02-001,compatibility,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
COMPAT-USES-REF-02-001,compatibility,P1,partial_scriptable,push,maintainer,True,basic-ci,null,2,1,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
COMPAT-USING-RUNTIME-02-001,compatibility,P1,partial_scriptable,push,maintainer,True,basic-ci,null,2,1,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
COMPAT-VAR-02-001,compatibility,P1,full_scriptable,push,maintainer,True,basic-ci,null,5,5,0,0,0,""
COMPAT-VAR-02-002,compatibility,P1,full_scriptable,push,maintainer,True,basic-ci,null,4,4,0,0,0,""
COMPAT-VAR-02-003,compatibility,P1,full_scriptable,push,maintainer,True,basic-ci,null,4,4,0,0,0,""
COMPAT-WF-CALL-02-001,compatibility,P1,full_scriptable,push,maintainer,True,basic-ci,null,2,2,0,0,0,""
COMPAT-WF-CMD-02-001,compatibility,P2,partial_scriptable,push,maintainer,True,basic-ci,null,2,1,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
COMPAT-WF-NEST-02-001,compatibility,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
COMPAT-YAML-ERROR-02-001,compatibility,P1,partial_scriptable,push,maintainer,True,basic-ci,null,2,0,2,2,2,"eval=llm_assisted, 需要 LLM 判定 | eval=llm_assisted, 需要 LLM 判定"
REL-ART-CACHE-02-001,reliability,P1,full_scriptable,push,maintainer,True,basic-ci,null,2,2,0,0,0,""
REL-CANCEL-02-001,reliability,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
REL-CANCEL-02-002,reliability,P1,full_scriptable,push,maintainer,True,basic-ci,null,4,4,0,0,0,""
REL-CANCEL-02-003,reliability,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
REL-CANCEL-02-004,reliability,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
REL-CANCEL-02-005,reliability,P1,partial_scriptable,push,maintainer,True,basic-ci,null,4,3,1,0,1,"target=runner_schedulable 不在引擎支持范围内"
REL-CHAOS-02-001,reliability,P0,partial_scriptable,push,maintainer,True,basic-ci,{"at": "mid_job", "action": "kill_runner", "params": {"delay_seconds": 10}, "recovery_expectation": "retry_and_succeed"},4,4,0,0,1,"fault_injection 非 null：当前执行器不支持故障注入（需 kill_runner / network_partition / concurrent_flood infra）"
REL-CHAOS-02-002,reliability,P1,partial_scriptable,push,maintainer,True,basic-ci,{"at": "mid_job", "action": "network_partition", "params": {"direction": "outbound", "duration_seconds": 60}, "recovery_expectation": "step_fails_then_recovers"},3,3,0,0,1,"fault_injection 非 null：当前执行器不支持故障注入（需 kill_runner / network_partition / concurrent_flood infra）"
REL-CHAOS-02-003,reliability,P1,partial_scriptable,push,maintainer,True,basic-ci,{"at": "pre_job", "action": "kill_runner", "params": {"delay_seconds": 5}, "recovery_expectation": "rerun_and_succeed"},1,1,0,0,1,"fault_injection 非 null：当前执行器不支持故障注入（需 kill_runner / network_partition / concurrent_flood infra）"
REL-CONCUR-02-001,reliability,P1,full_scriptable,push,maintainer,True,basic-ci,null,4,4,0,0,0,""
REL-CONCUR-02-002,reliability,P1,not_scriptable,manual,maintainer,False,basic-ci,null,4,4,0,0,1,"manual 触发：需 workflow_dispatch API（待确认端点）"
REL-CONCUR-02-003,reliability,P1,not_scriptable,manual,maintainer,False,basic-ci,null,3,3,0,0,1,"manual 触发：需 workflow_dispatch API（待确认端点）"
REL-CONCUR-02-004,reliability,P1,partial_scriptable,push,maintainer,True,basic-ci,{"at": "pre_job", "action": "concurrent_flood", "params": {"concurrency": 2}, "recovery_expectation": "second_run_ignored"},1,1,0,0,1,"fault_injection 非 null：当前执行器不支持故障注入（需 kill_runner / network_partition / concurrent_flood infra）"
REL-CONTERR-02-001,reliability,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
REL-CONV-02-001,reliability,P1,not_scriptable,schedule,maintainer,False,basic-ci,null,5,4,1,0,2,"schedule：cron 无法按需触发（基础设施限制） | target=runner_scheduling 不在引擎支持范围内"
REL-CRON-02-001,reliability,P1,not_scriptable,schedule,maintainer,False,basic-ci,null,4,3,1,0,2,"schedule：cron 无法按需触发（基础设施限制） | target=workflow_validation 不在引擎支持范围内"
REL-LARGE-REPO-02-001,reliability,P2,partial_scriptable,push,maintainer,True,large-repo,null,2,1,1,0,1,"target=run_duration 不在引擎支持范围内"
REL-MANY-STEPS-02-001,reliability,P2,partial_scriptable,push,maintainer,True,basic-ci,null,2,1,1,0,1,"target=run_duration 不在引擎支持范围内"
REL-MATRIX-02-001,reliability,P1,full_scriptable,push,maintainer,True,basic-ci,null,4,4,0,0,0,""
REL-MATRIX-02-002,reliability,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
REL-MATRIX-02-003,reliability,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
REL-MATRIX-02-004,reliability,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
REL-NEEDS-02-001,reliability,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
REL-NEEDS-02-002,reliability,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
REL-NEEDS-02-003,reliability,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
REL-PREEMPT-02-001,reliability,P1,partial_scriptable,push,maintainer,True,preemption-ci,null,4,4,0,0,1,"未知 repo_fixture 'preemption-ci'，需确认测试仓前置资源"
REL-PREEMPT-02-002,reliability,P1,partial_scriptable,push,maintainer,True,preemption-ci,null,6,5,1,0,2,"未知 repo_fixture 'preemption-ci'，需确认测试仓前置资源 | target=runner_schedulable 不在引擎支持范围内"
REL-PUSH-DEDUP-02-001,reliability,P1,full_scriptable,push,maintainer,True,basic-ci,null,2,2,0,0,0,""
REL-RACE-02-001,reliability,P1,partial_scriptable,push,maintainer,True,basic-ci,{"at": "pre_job", "action": "concurrent_flood", "params": {"concurrency": 2}, "recovery_expectation": "no_deadlock"},1,1,0,0,1,"fault_injection 非 null：当前执行器不支持故障注入（需 kill_runner / network_partition / concurrent_flood infra）"
REL-RERUN-02-001,reliability,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
REL-RERUN-02-002,reliability,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
REL-RERUN-02-003,reliability,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
REL-RUNNER-02-001,reliability,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
REL-RUNNER-02-002,reliability,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
REL-RUNNER-02-003,reliability,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
REL-RUNNER-RESIDUE-02-001,reliability,P1,full_scriptable,push,maintainer,True,basic-ci,null,2,2,0,0,0,""
REL-SCHED-02-001,reliability,P1,not_scriptable,schedule,maintainer,False,basic-ci,null,4,3,1,0,2,"schedule：cron 无法按需触发（基础设施限制） | target=workflow_validation 不在引擎支持范围内"
REL-TIMEOUT-02-001,reliability,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
REL-TIMEOUT-02-002,reliability,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
REL-TIMEOUT-02-003,reliability,P1,full_scriptable,push,maintainer,True,basic-ci,null,2,2,0,0,0,""
SEC-ACTION-PERM-02-001,security,P1,full_scriptable,push,maintainer,True,with-secrets,null,2,2,0,0,0,""
SEC-CACHE-ISOLATE-02-001,security,P1,full_scriptable,push,maintainer,True,basic-ci,null,2,2,0,0,0,""
SEC-CONT-CRED-02-001,security,P1,full_scriptable,push,maintainer,True,private-registry,null,4,4,0,0,0,""
SEC-CONT-ISOLATE-02-001,security,P1,partial_scriptable,push,maintainer,True,container-isolation,null,4,4,0,0,1,"未知 repo_fixture 'container-isolation'，需确认测试仓前置资源"
SEC-DISK-LEAK-02-001,security,P1,full_scriptable,push,maintainer,True,with-secrets,null,2,2,0,0,0,""
SEC-ENV-POLLUTE-02-001,security,P1,not_scriptable,pr,untrusted_contributor,False,basic-ci,null,2,2,0,0,2,"pr 触发：需建分支+开 PR（待确认 PR API） | trigger.as=untrusted_contributor：需第二 GitCode 账号/token 模拟外部贡献者"
SEC-ENV-REVIEW-02-001,security,P1,full_scriptable,push,maintainer,True,with-secrets,null,2,2,0,0,0,""
SEC-ENV-WAIT-02-001,security,P1,full_scriptable,push,maintainer,True,environment-protected,null,4,4,0,0,0,""
SEC-FORK-02-001,security,P0,not_scriptable,fork_pr,untrusted_contributor,False,with-secrets,null,5,5,0,0,2,"fork_pr：需第二 GitCode 账号/token 模拟 untrusted 外部贡献者 | trigger.as=untrusted_contributor：需第二 GitCode 账号/token 模拟外部贡献者"
SEC-FORK-02-002,security,P0,not_scriptable,fork_pr,untrusted_contributor,False,with-secrets,null,5,5,0,0,2,"fork_pr：需第二 GitCode 账号/token 模拟 untrusted 外部贡献者 | trigger.as=untrusted_contributor：需第二 GitCode 账号/token 模拟外部贡献者"
SEC-FORK-02-003,security,P0,not_scriptable,fork_pr,untrusted_contributor,False,with-target-workflow,null,3,3,0,0,3,"fork_pr：需第二 GitCode 账号/token 模拟 untrusted 外部贡献者 | trigger.as=untrusted_contributor：需第二 GitCode 账号/token 模拟外部贡献者 | 未知 repo_fixture 'with-target-workflow'，需确认测试仓前置资源"
SEC-FORK-02-004,security,P0,not_scriptable,fork_pr,untrusted_contributor,False,with-secrets,null,3,3,0,0,2,"fork_pr：需第二 GitCode 账号/token 模拟 untrusted 外部贡献者 | trigger.as=untrusted_contributor：需第二 GitCode 账号/token 模拟外部贡献者"
SEC-FORK-02-005,security,P0,not_scriptable,fork_pr,untrusted_contributor,False,with-secrets,null,4,4,0,0,2,"fork_pr：需第二 GitCode 账号/token 模拟 untrusted 外部贡献者 | trigger.as=untrusted_contributor：需第二 GitCode 账号/token 模拟外部贡献者"
SEC-INJECT-02-001,security,P0,not_scriptable,fork_pr,untrusted_contributor,False,with-pr-trigger,null,3,3,0,0,3,"fork_pr：需第二 GitCode 账号/token 模拟 untrusted 外部贡献者 | trigger.as=untrusted_contributor：需第二 GitCode 账号/token 模拟外部贡献者 | 未知 repo_fixture 'with-pr-trigger'，需确认测试仓前置资源"
SEC-INJECT-02-002,security,P0,not_scriptable,fork_pr,untrusted_contributor,False,with-pr-trigger,null,3,3,0,0,3,"fork_pr：需第二 GitCode 账号/token 模拟 untrusted 外部贡献者 | trigger.as=untrusted_contributor：需第二 GitCode 账号/token 模拟外部贡献者 | 未知 repo_fixture 'with-pr-trigger'，需确认测试仓前置资源"
SEC-INJECT-02-003,security,P0,not_scriptable,fork_pr,untrusted_contributor,False,with-pr-trigger,null,3,3,0,0,3,"fork_pr：需第二 GitCode 账号/token 模拟 untrusted 外部贡献者 | trigger.as=untrusted_contributor：需第二 GitCode 账号/token 模拟外部贡献者 | 未知 repo_fixture 'with-pr-trigger'，需确认测试仓前置资源"
SEC-INJECT-02-004,security,P0,not_scriptable,fork_pr,untrusted_contributor,False,with-pr-trigger,null,3,3,0,0,3,"fork_pr：需第二 GitCode 账号/token 模拟 untrusted 外部贡献者 | trigger.as=untrusted_contributor：需第二 GitCode 账号/token 模拟外部贡献者 | 未知 repo_fixture 'with-pr-trigger'，需确认测试仓前置资源"
SEC-INJECT-02-005,security,P0,not_scriptable,fork_pr,untrusted_contributor,False,with-pr-trigger,null,3,3,0,0,3,"fork_pr：需第二 GitCode 账号/token 模拟 untrusted 外部贡献者 | trigger.as=untrusted_contributor：需第二 GitCode 账号/token 模拟外部贡献者 | 未知 repo_fixture 'with-pr-trigger'，需确认测试仓前置资源"
SEC-INJECT-02-006,security,P1,not_scriptable,fork_pr,untrusted_contributor,False,with-pr-trigger,null,3,3,0,0,3,"fork_pr：需第二 GitCode 账号/token 模拟 untrusted 外部贡献者 | trigger.as=untrusted_contributor：需第二 GitCode 账号/token 模拟外部贡献者 | 未知 repo_fixture 'with-pr-trigger'，需确认测试仓前置资源"
SEC-JOB-ISOLATE-02-001,security,P1,full_scriptable,push,maintainer,True,basic-ci,null,2,2,0,0,0,""
SEC-PERMS-02-001,security,P0,partial_scriptable,push,maintainer,True,with-permissions,null,2,2,0,0,1,"未知 repo_fixture 'with-permissions'，需确认测试仓前置资源"
SEC-PERMS-02-002,security,P0,full_scriptable,push,maintainer,True,with-secrets,null,3,3,0,0,0,""
SEC-PERMS-02-003,security,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
SEC-REFPROT-02-001,security,P1,partial_scriptable,push,maintainer,True,branch-protected,null,3,3,0,0,1,"未知 repo_fixture 'branch-protected'，需确认测试仓前置资源"
SEC-RUNNER-LEAK-02-001,security,P0,full_scriptable,push,maintainer,True,with-secrets,null,3,3,0,0,0,""
SEC-RUNNER-SHARE-02-001,security,P0,full_scriptable,push,maintainer,True,with-secrets,null,2,2,0,0,0,""
SEC-SECRET-MASK-02-001,security,P0,full_scriptable,push,maintainer,True,with-secrets,null,3,3,0,0,0,""
SEC-SECRET-MASK-02-002-V1,security,P0,partial_scriptable,push,maintainer,True,with-secrets,null,2,1,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
SEC-SECRET-MASK-02-002-V2,security,P1,partial_scriptable,push,maintainer,True,with-secrets,null,2,1,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
SEC-SECRET-MASK-02-002,security,P1,partial_scriptable,push,maintainer,True,with-secrets,null,2,1,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
SEC-SECRET-MASK-02-003,security,P1,full_scriptable,push,maintainer,True,with-secrets,null,3,3,0,0,0,""
SEC-SECRET-MASK-02-004,security,P1,full_scriptable,push,maintainer,True,with-secrets,null,3,3,0,0,0,""
SEC-SECRET-MASK-02-005,security,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
SEC-SHA-REF-02-001,security,P1,full_scriptable,push,maintainer,True,basic-ci,null,2,2,0,0,0,""
SEC-SIDECHAN-02-001,security,P1,partial_scriptable,push,maintainer,True,with-secrets,null,3,1,2,0,2,"target=step_summary 不在引擎支持范围内 | target=artifacts 不在引擎支持范围内"
SEC-SUPPLY-02-001,security,P1,partial_scriptable,push,maintainer,True,basic-ci,null,3,2,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
SEC-SUPPLY-02-002,security,P1,not_scriptable,fork_pr,untrusted_contributor,False,basic-ci,null,2,2,0,0,2,"fork_pr：需第二 GitCode 账号/token 模拟 untrusted 外部贡献者 | trigger.as=untrusted_contributor：需第二 GitCode 账号/token 模拟外部贡献者"
SEC-TOCTOU-02-001,security,P1,not_scriptable,pr,maintainer,False,basic-ci,null,2,2,0,0,1,"pr 触发：需建分支+开 PR（待确认 PR API）"
SEC-TOKEN-02-001,security,P0,not_scriptable,fork_pr,untrusted_contributor,False,with-secrets,null,2,2,0,0,2,"fork_pr：需第二 GitCode 账号/token 模拟 untrusted 外部贡献者 | trigger.as=untrusted_contributor：需第二 GitCode 账号/token 模拟外部贡献者"
SEC-TOKEN-EXPIRE-02-001,security,P1,full_scriptable,push,maintainer,True,basic-ci,null,2,2,0,0,0,""
USE-BADGE-02-001,usability,P2,partial_scriptable,push,maintainer,True,basic-ci,null,4,0,4,1,4,"target=badge_response 不在引擎支持范围内 | target=badge_response 不在引擎支持范围内 | target=badge_response 不在引擎支持范围内 | eval=llm_assisted, 需要 LLM 判定"
USE-DEBUG-02-001,usability,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
USE-DEBUG-02-002,usability,P2,partial_scriptable,push,maintainer,True,basic-ci,null,1,0,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
