case_id,dimension,priority,classification,total_assertions,mappable,unmappable,llm_assisted,reason
COMP-ACTION-02-001,completeness,P1,full_scriptable,2,2,0,0,"全部断言可映射"
COMP-ACTOR-02-001,completeness,P1,partial_scriptable,3,2,1,1,"eval=llm_assisted, 需要 LLM 判定"
COMP-ARTIFACT-02-001,completeness,P1,full_scriptable,2,2,0,0,"全部断言可映射"
COMP-CACHE-02-001,completeness,P1,full_scriptable,3,3,0,0,"全部断言可映射"
COMP-CONCUR-02-001,completeness,P1,full_scriptable,2,2,0,0,"全部断言可映射"
COMP-CONTAINER-02-001,completeness,P1,full_scriptable,4,4,0,0,"全部断言可映射"
COMP-CONTERR-02-001,completeness,P1,full_scriptable,3,3,0,0,"全部断言可映射"
COMP-CONTEXT-02-001,completeness,P1,full_scriptable,3,3,0,0,"全部断言可映射"
COMP-DAG-02-001,completeness,P1,full_scriptable,3,3,0,0,"全部断言可映射"
COMP-ENV-02-001,completeness,P1,full_scriptable,3,3,0,0,"全部断言可映射"
COMP-EXPR-02-001,completeness,P1,full_scriptable,3,3,0,0,"全部断言可映射"
COMP-EXPRFN-02-001,completeness,P1,full_scriptable,3,3,0,0,"全部断言可映射"
COMP-FILTER-02-001,completeness,P1,full_scriptable,3,3,0,0,"全部断言可映射"
COMP-MATIF-02-001,completeness,P1,full_scriptable,3,3,0,0,"全部断言可映射"
COMP-MATRIX-02-001,completeness,P1,full_scriptable,4,4,0,0,"全部断言可映射"
COMP-MATRIX-02-005,completeness,P1,full_scriptable,4,4,0,0,"全部断言可映射"
COMP-MATRIX-02-006,completeness,P1,full_scriptable,3,3,0,0,"全部断言可映射"
COMP-MATRIX-02-007,completeness,P1,full_scriptable,4,4,0,0,"全部断言可映射"
COMP-OUTPUT-02-001,completeness,P1,full_scriptable,2,2,0,0,"全部断言可映射"
COMP-PARSE-02-001,completeness,P1,partial_scriptable,2,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
COMP-PERM-02-001,completeness,P1,full_scriptable,3,3,0,0,"全部断言可映射"
COMP-POST-02-001,completeness,P1,full_scriptable,2,2,0,0,"全部断言可映射"
COMP-RERUN-02-001,completeness,P1,full_scriptable,4,4,0,0,"全部断言可映射"
COMP-RUNNER-02-001,completeness,P1,full_scriptable,3,3,0,0,"全部断言可映射"
COMP-SCHEDULE-02-001,completeness,P1,full_scriptable,3,3,0,0,"全部断言可映射"
COMP-STAGES-02-001,completeness,P1,full_scriptable,3,3,0,0,"全部断言可映射"
COMP-TIMEOUT-02-001,completeness,P1,full_scriptable,3,3,0,0,"全部断言可映射"
COMP-TRIGGER-02-001,completeness,P1,full_scriptable,3,3,0,0,"全部断言可映射"
COMP-WF-CALL-02-001,completeness,P1,full_scriptable,3,3,0,0,"全部断言可映射"
COMPAT-ACTION-02-001,compatibility,P1,full_scriptable,2,2,0,0,"全部断言可映射"
COMPAT-ACTION-INPUTS-02-001,compatibility,P2,partial_scriptable,2,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
COMPAT-ART-CACHE-02-001,compatibility,P1,full_scriptable,3,3,0,0,"全部断言可映射"
COMPAT-ARTIFACT-EQUIV-02-001,compatibility,P2,full_scriptable,2,2,0,0,"全部断言可映射"
COMPAT-CACHE-EQUIV-02-001,compatibility,P2,full_scriptable,2,2,0,0,"全部断言可映射"
COMPAT-CHECKOUT-EQUIV-02-001,compatibility,P1,full_scriptable,2,2,0,0,"全部断言可映射"
COMPAT-CONCUR-02-001,compatibility,P1,full_scriptable,3,3,0,0,"全部断言可映射"
COMPAT-CONCUR-MODEL-02-001,compatibility,P1,partial_scriptable,2,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
COMPAT-CONTEXT-02-001,compatibility,P1,full_scriptable,3,3,0,0,"全部断言可映射"
COMPAT-CTX-AVAIL-02-001,compatibility,P1,full_scriptable,4,4,0,0,"全部断言可映射"
COMPAT-DEF-SHELL-02-001,compatibility,P1,full_scriptable,4,4,0,0,"全部断言可映射"
COMPAT-DEPRECATED-CMD-02-001,compatibility,P2,partial_scriptable,2,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
COMPAT-EXPRCO-02-001,compatibility,P1,full_scriptable,3,3,0,0,"全部断言可映射"
COMPAT-EXPRCS-02-001,compatibility,P1,full_scriptable,3,3,0,0,"全部断言可映射"
COMPAT-EXPRFN-02-001,compatibility,P1,full_scriptable,3,3,0,0,"全部断言可映射"
COMPAT-EXPRFN-02-002,compatibility,P1,full_scriptable,5,5,0,0,"全部断言可映射"
